id,validity
cypherbench:1000,valid
cypherbench:1042,valid
cypherbench:1268,invalid
cypherbench:1498,invalid
cypherbench:152,valid
cypherbench:1545,invalid
cypherbench:1643,valid
cypherbench:1692,valid
cypherbench:1724,invalid
cypherbench:1945,valid
cypherbench:2042,invalid
cypherbench:2071,valid
cypherbench:273,invalid
cypherbench:359,valid
cypherbench:395,invalid
cypherbench:42,valid
cypherbench:487,valid
cypherbench:514,valid
cypherbench:547,valid
cypherbench:568,invalid
cypherbench:622,valid
cypherbench:654,invalid
cypherbench:660,valid
cypherbench:719,invalid
cypherbench:74,valid
cypherbench:828,invalid
mindthequery:1041,invalid
mindthequery:1054,invalid
mindthequery:1121,valid
mindthequery:1129,valid
mindthequery:1130,valid
mindthequery:237,valid
mindthequery:258,valid
mindthequery:270,valid
mindthequery:329,valid
mindthequery:351,valid
mindthequery:485,invalid
zograscope:1023,invalid
zograscope:1030,valid
zograscope:1035,valid
zograscope:1041,invalid
zograscope:158,invalid
zograscope:180,invalid
zograscope:212,invalid
zograscope:218,invalid
zograscope:358,invalid
zograscope:523,invalid
zograscope:556,invalid
zograscope:631,invalid
zograscope:835,invalid
zograscope:85,valid
zograscope:861,valid
zograscope:878,valid
zograscope:960,valid
zograscope:998,invalid
