id,dataset,graph,uuid,tier,strategy,in_queue,final_label,action,reason,revert_strategy,revert_to,release_position
cypherbench:0,cypherbench,nba,2d5f1e6f-ae3c-4e71-8fbe-e05f69294e46,llm,abbrev,True,valid,keep:valid,valid,,,0
cypherbench:1,cypherbench,nba,3f28fa8b-8b37-46ad-ab48-d4e573500312,kb:curated,alias,False,unsampled,keep:unsampled,never sampled for human review,,,1
cypherbench:2,cypherbench,nba,0174ba44-5756-4cfd-9ff3-103a4b131721,llm,abbrev,True,valid,keep:valid,valid,,,2
cypherbench:3,cypherbench,nba,8c2683f2-d6ec-491d-8200-d1019ce7afb2,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,3
cypherbench:4,cypherbench,nba,829e543d-503e-45a1-aa9a-8a14ae871d47,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,4
cypherbench:5,cypherbench,nba,0834680e-22f8-4e23-84e8-7807640928ab,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,5
cypherbench:6,cypherbench,nba,5d04cdc7-8f1b-4d57-b469-d601bdc9806a,llm,partial,True,calibration:valid,keep:calibration,calibration item; main-queue labels not used (pre-registered),,,6
cypherbench:7,cypherbench,nba,bbbf9f6d-0ccd-4e42-8b6b-20d2af3addd2,algorithmic,typo,False,unsampled,keep:unsampled,never sampled for human review,,,7
cypherbench:8,cypherbench,nba,1f022688-7b01-4c44-a38f-96efdb8a25a5,attested,alias,True,valid,keep:valid,valid,,,8
cypherbench:9,cypherbench,nba,590f51a4-1dae-412d-974b-d4113c8c20c3,llm,abbrev,True,valid,keep:valid,valid,,,9
cypherbench:10,cypherbench,nba,7f7a952a-81e4-4c6a-b454-d8b53911f991,llm,abbrev,True,valid,keep:valid,valid,,,10
cypherbench:11,cypherbench,nba,4a506094-e930-4c8f-be3e-a72b0d8b280b,attested,alias,True,valid,keep:valid,valid,,,11
cypherbench:12,cypherbench,nba,5715c139-758a-48e4-af9f-dcebb56721d7,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,12
cypherbench:13,cypherbench,nba,dc90d247-c0f6-4411-904a-33c6da3058ce,attested,alias,True,valid,keep:valid,valid,,,13
cypherbench:14,cypherbench,nba,c7ccd057-43f3-482b-b78a-a176f92d9e16,llm,abbrev,True,valid,keep:valid,valid,,,14
cypherbench:15,cypherbench,nba,eec765d7-ebd3-4828-8041-e698f81a9bab,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,15
cypherbench:16,cypherbench,nba,1e60e349-2eb1-4da0-950b-2e0a5cf0f4d3,llm,abbrev,True,valid,keep:valid,valid,,,16
cypherbench:17,cypherbench,nba,c1d20c6f-ee69-4307-ae76-d720a4fc27cb,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,17
cypherbench:18,cypherbench,nba,e8ec051a-c81d-4675-96bf-2fde120a3078,kb:simplekg,abbrev,False,unsampled,keep:unsampled,never sampled for human review,,,18
cypherbench:19,cypherbench,nba,f0052196-f3fa-4178-8063-2a5196717aa7,llm,abbrev,True,valid,keep:valid,valid,,,19
cypherbench:20,cypherbench,nba,d6badaed-4add-4b95-a078-68bf10f3541f,attested,alias,True,valid,keep:valid,valid,,,20
cypherbench:21,cypherbench,nba,048c39e7-9056-42b3-931a-d7016ed96490,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,21
cypherbench:22,cypherbench,nba,9e194653-50e4-4ca2-8721-9b8a874679e3,algorithmic,casing,True,valid,keep:valid,valid,,,22
cypherbench:23,cypherbench,nba,58d1ad18-29ef-45bb-ad70-faf82dc5ac18,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,23
cypherbench:24,cypherbench,nba,be667a90-0313-4806-a6ca-e7d1d69e5303,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,24
cypherbench:25,cypherbench,nba,777d9ce9-a708-4eca-b669-526f54523d2f,algorithmic,partial,True,valid,keep:valid,valid,,,25
cypherbench:26,cypherbench,nba,61ff55fc-962f-42fb-8ddd-66791d0f75c8,llm,partial,True,calibration:valid,keep:calibration,calibration item; main-queue labels not used (pre-registered),,,26
cypherbench:27,cypherbench,nba,3c61a785-dd4f-4246-8c10-937e21f19b72,attested,alias,True,valid,keep:valid,valid,,,27
cypherbench:28,cypherbench,nba,8a980812-f705-434c-8917-990558916d43,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,28
cypherbench:29,cypherbench,nba,da76e12b-4f31-496b-8575-4a4ed8c1d1f6,llm,abbrev,True,valid,keep:valid,valid,,,29
cypherbench:30,cypherbench,nba,169efd3d-5147-4a6e-98c3-826eef355b3a,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,30
cypherbench:31,cypherbench,nba,f1a0ab55-fdf4-4d8c-b5ef-ab2395fa4504,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,31
cypherbench:32,cypherbench,nba,047e97cb-44fb-4148-b36e-c539e0340d16,llm,abbrev,True,valid,keep:valid,valid,,,32
cypherbench:33,cypherbench,nba,93830abd-079d-43de-b596-3e3b98ab7fa7,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,33
cypherbench:34,cypherbench,nba,4e5ed21a-4d0a-418d-98a9-cde47903857b,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,34
cypherbench:35,cypherbench,nba,65b5ad24-2869-44ad-a5f9-18fdb2bf2a66,llm,abbrev,True,valid,keep:valid,valid,,,35
cypherbench:36,cypherbench,nba,cb34bff2-f55d-4155-9cbb-723d9ba17ff2,kb:simplekg,abbrev,False,unsampled,keep:unsampled,never sampled for human review,,,36
cypherbench:37,cypherbench,nba,26a87c72-1215-40a2-bf9e-393434267cf4,llm,abbrev,True,valid,keep:valid,valid,,,37
cypherbench:38,cypherbench,nba,4c1e37f4-4105-4bb8-81e7-a9fcbad651c1,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,38
cypherbench:39,cypherbench,nba,54f574bd-53ff-42cd-be6b-a2ffade30007,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,39
cypherbench:40,cypherbench,nba,f6e463fd-b5da-40ff-ac8e-f92d6313894b,attested,alias,True,valid,keep:valid,valid,,,40
cypherbench:41,cypherbench,nba,f070dc0e-8c06-437d-a889-5ef6008d5806,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,41
cypherbench:42,cypherbench,nba,452aab89-80b8-4b69-8d1a-4cbfd98dc024,attested,alias,True,valid,keep:valid,valid,,,42
cypherbench:43,cypherbench,nba,59cf99b7-51f8-4c7c-a7e7-9a58e5ce69a2,llm,abbrev,True,valid,keep:valid,valid,,,43
cypherbench:44,cypherbench,nba,39425312-ac63-44c2-a8ae-bca437f11406,algorithmic,casing,True,valid,keep:valid,valid,,,44
cypherbench:45,cypherbench,nba,b08c1bf4-6125-4e60-b895-46488a92ab2c,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,45
cypherbench:46,cypherbench,nba,ace37a08-2323-4bf0-9e5d-e0cc837dee05,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,46
cypherbench:47,cypherbench,nba,1a0d94f4-f266-4645-8147-fdfae100b0de,algorithmic,partial,True,valid,keep:valid,valid,,,47
cypherbench:48,cypherbench,nba,27c8c0f4-feb3-4de2-b801-47b5af2020f3,llm,abbrev,True,valid,keep:valid,valid,,,48
cypherbench:49,cypherbench,nba,e19cf399-3883-4d92-aded-88d82fb3ccfb,kb:curated,alias,False,unsampled,keep:unsampled,never sampled for human review,,,49
cypherbench:50,cypherbench,nba,79ed0971-42c7-4a89-be4c-02b695b12f54,llm,abbrev,True,valid,keep:valid,valid,,,50
cypherbench:51,cypherbench,nba,f0286ead-19cd-4a2b-80ac-45bf53611953,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,51
cypherbench:52,cypherbench,nba,db8afe3d-a67c-4f78-9602-0cc823dc39d5,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,52
cypherbench:53,cypherbench,nba,e0edce9f-b01e-4a89-ab2f-71a2ebf8360f,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,53
cypherbench:54,cypherbench,nba,64b5710f-ef46-4e79-80ac-99660231cd2d,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,54
cypherbench:55,cypherbench,nba,3c847c81-e000-4031-b1bc-d039f1594816,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,55
cypherbench:56,cypherbench,nba,35d4cf0b-db94-4958-99a8-7e948aa4805d,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,56
