id,annotator,validity,naturalness,source_error,corrected_form,notes,calibration_item
cypherbench:0,A,valid,natural,no,,,no
cypherbench:0,D,valid,natural,no,,,no
cypherbench:10,B,valid,natural,no,,,no
cypherbench:10,C,valid,awkward,no,Detroit Pistons,"DET is the standard sports abbreviation for Detroit/Detroit Pistons, but using 'the DET' directly in this phrasing sounds awkward.",no
cypherbench:1000,B,valid,natural,no,,,no
cypherbench:1000,C,invalid,unnatural,no,Georges Favre-Jacot,Shortening a relatively obscure historical person to their initials 'G.F.J.' creates a completely ambiguous abbreviation that is not a well-established moniker.,no
cypherbench:1001,B,valid,natural,no,,,no
cypherbench:1001,E,valid,natural,no,,,no
cypherbench:1004,D,valid,natural,no,,,no
cypherbench:1004,E,valid,natural,no,,,no
cypherbench:1005,C,valid,natural,no,,,no
cypherbench:1005,E,valid,natural,no,,,no
cypherbench:1006,A,valid,natural,no,,,no
cypherbench:1006,D,valid,natural,no,,,no
cypherbench:1007,C,valid,natural,no,Leslie Ireland,Lowercasing is valid and natural.,no
cypherbench:1007,E,valid,natural,no,,,no
cypherbench:1008,A,valid,natural,no,,,no
cypherbench:1008,D,valid,natural,no,,,no
cypherbench:101,A,valid,natural,no,,,no
cypherbench:101,B,valid,natural,no,,,no
cypherbench:1010,B,valid,natural,no,,,no
cypherbench:1010,E,valid,natural,no,,,no
cypherbench:1012,B,valid,natural,no,,,no
cypherbench:1012,E,valid,natural,no,,,no
cypherbench:1013,C,valid,natural,no,,Leon David Black is the full name of Leon Black.,no
cypherbench:1013,D,valid,natural,no,,,no
cypherbench:1014,B,valid,natural,no,,,no
cypherbench:102,D,valid,natural,no,,,no
cypherbench:102,E,valid,natural,no,,,no
cypherbench:1020,B,valid,natural,no,,,no
cypherbench:1020,D,valid,natural,no,,,no
cypherbench:1028,A,valid,natural,no,,,no
cypherbench:1028,E,valid,natural,no,,,no
cypherbench:103,C,valid,awkward,no,Denver Nuggets,"DEN is the official NBA abbreviation for the Denver Nuggets, though 'the DEN' sounds a bit awkward in this sentence.",no
cypherbench:103,D,valid,natural,no,,,no
cypherbench:1030,A,valid,natural,no,,,no
cypherbench:1030,B,valid,natural,no,,,no
cypherbench:1034,A,valid,natural,no,,,no
cypherbench:1034,E,valid,natural,no,,,no
cypherbench:1035,B,valid,natural,no,,,no
cypherbench:1035,E,valid,natural,no,,,no
cypherbench:1042,D,valid,natural,no,,,no
cypherbench:1042,E,unsure,natural,no,,,no
cypherbench:1043,B,invalid,natural,no,,,no
cypherbench:1044,C,valid,natural,no,,,no
cypherbench:1044,E,valid,natural,no,,,no
cypherbench:105,A,valid,natural,no,,,no
cypherbench:105,D,valid,natural,no,,,no
cypherbench:1055,A,valid,natural,no,,,no
cypherbench:1055,B,valid,natural,no,,,no
cypherbench:1059,B,valid,natural,no,,,yes
cypherbench:1059,E,valid,natural,no,,,yes
cypherbench:1062,C,valid,natural,no,,Dòngtíng Hú is the standard Pinyin romanization for Dongting Lake.,yes
cypherbench:1062,E,valid,natural,no,,,yes
cypherbench:107,B,valid,natural,no,,,no
