rel_type,from_label,to_label,property,property_types,mandatory,rel_count,sample_values
directedBy,Movie,Person,,,,200966,
hasCastMember,Movie,Person,character_role,String,False,981423,"Marie de Rohan, Duchess of Chevreuse | Nastasya Filipovna | Susan Calvin"
hasGenre,Movie,Genre,,,,251667,
originatesFrom,Movie,Country,,,,231287,
partOfSeries,Movie,FilmSeries,,,,2476,
producedBy,Movie,ProductionCompany,,,,33350,
receivesAward,Movie,Award,winners,StringArray,False,10765,"['Jane Campion'] | ['Carol Dysinger', 'Elena Andreicheva'] | ['Agustí Villaronga']"
receivesAward,Movie,Award,year,Long,False,10765,1980 | 1997 | 1991
releasedIn,Movie,Country,date,Date,False,54218,2013-01-17 | 2023-10-05 | 2004-08-19
writtenBy,Movie,Person,,,,126050,
