rel_type,from_label,to_label,property,property_types,mandatory,rel_count,sample_values
CALLED,PhoneCall,Phone,,,,534,
CALLER,PhoneCall,Phone,,,,534,
CURRENT_ADDRESS,Person,Location,,,,368,
FAMILY_REL,Person,Person,rel_type,String,True,155,SIBLING | PARENT | PARENT
HAS_EMAIL,Person,Email,,,,328,
HAS_PHONE,Person,Phone,,,,328,
HAS_POSTCODE,Location,PostCode,,,,14904,
INVESTIGATED_BY,Crime,Officer,,,,28762,
INVOLVED_IN,Object,Crime,,,,985,
INVOLVED_IN,Vehicle,Crime,,,,985,
KNOWS,Person,Person,,,,586,
KNOWS_LW,Person,Person,,,,80,
KNOWS_PHONE,Person,Person,,,,118,
KNOWS_SN,Person,Person,,,,241,
LOCATION_IN_AREA,Location,Area,,,,14904,
OCCURRED_AT,Crime,Location,,,,28762,
PARTY_TO,Person,Crime,,,,55,
POSTCODE_IN_AREA,PostCode,Area,,,,14196,
